start	end	text
373500	375500	Si vamos allá me pueden atacar.
375500	377500	La situación es que vamos a ir o no vamos a ir.
377500	378500	¿A dónde?
378500	379500	A buscar donde está el jefe.
379500	381500	Yo no me voy a meter con usted a buscar un delincuente.
381500	382500	Imposible.
382500	383500	No están así entrenados.
383500	386500	¿Quiénes son sus jefes?
386500	387500	Muy bien.
387500	389500	Entonces acérquese a la fiscalía.
389500	390500	¿Quiénes son sus jefes?
390500	392500	Mis jefes pueden averiguar.
392500	396500	Váyanse a todo lo que es el mañana de Jesús.
396500	399500	Yo no quiero que manden llamar a otras personas.
399500	401500	Porque vamos a llamar quiénes están en ese lado.
401500	402500	Muy bien.
402500	403500	Voy a hablar con los jefes.
403500	405500	Con nuestros jefes voy a hablar.
405500	407500	Vamos a llamarlos.
407500	408500	No, vayan a hablar ustedes.
408500	409500	No, lláquenlos por favor.
409500	411500	¿Podemos hacer consulta?
411500	413500	No, podemos ir.
413500	414500	Lláquenlos por favor.
414500	415500	Vamos que hable de la tía.
415500	416500	Llámanle al aviónse por favor.
416500	418500	Que me manden otra cosa suya.
418500	420500	Por así mandándole a mi mamá.
420500	422500	Cabros las puertas, vamos a andarnos.
422500	424500	¿Quién es el delincuente?
424500	425500	Mira, se movió de nuevo.
425500	426500	Mira el teléfono moviendo.
426500	427500	Si la policía quiere ser donado.
427500	431500	¿Quién es el delincuente?
431500	432500	Yo puedo ir para allá, le digo.
432500	433500	Entonces, vayan.
433500	434500	Pero ¿cómo voy a hacer?
434500	437500	Llámenle a sus colegas de esa área.
437500	438500	¿Para qué los ayude?
438500	441500	Les voy literalmente, miren ahí literalmente donde están.
441500	444500	Esa es la que nos va a ver ahora mismo.
444500	445500	¿Ustedes lo que nos quieren ayudar?
445500	447500	Jefe, ¿si puede abrir la puerta a ver por favor?
447500	448500	Sí.
448500	449500	Muchas gracias.
449500	453500	La policía de Ecuador realmente no ha dejado con...
453500	454500	Esto es...
454500	456500	No tengo palabras para decirlo.
456500	458500	No tengo palabras para decir lo que es esto.
458500	460500	Ustedes están haciendo la víctima delante de nosotros.
460500	463500	Cuando nosotros somos la víctima, principalmente ese señor.
463500	465500	Mira, yo no me siento víctima ni nada.
465500	468500	Yo les estoy dando lo que está en mis posibilidades.
468500	471500	Señor, pero usted entiende que si usted estuviera en un país que no...
471500	472500	Escúchame por favor.
472500	474500	Que está en un país que no conoce.
474500	478500	Y a usted le dice, metese en un carro con gente que lo asaltaron.
478500	480500	A meterse en un barrio para ver.
480500	482500	Usted no se sintiera cómo.
482500	484500	No, usted no se va a meter con gente que lo asaltaron.
484500	487500	Pero quiere que estemos alrededor de eso.
487500	489500	Ya tengo miedo.
489500	490500	O sea, ya tengo miedo.
490500	492500	Ustedes están entrenando para eso.
492500	493500	Yo entiendo su miedo.
493500	495500	Tampoco es una cosa que se les vaya a exponer.
495500	498500	Pero es una cosa que se necesita.
498500	500500	No puedo ir yo a ciegas.
500500	502500	Eso quiero que me entienda usted.
502500	504500	Pero le estamos dando la dirección.
504500	505500	Yo le colaboro con gusto.
505500	506500	Llego a la dirección.
506500	507500	A ver, una...
507500	510500	Ustedes tienen tecnología para saber.
510500	511500	No.
511500	514500	La tecnología de nosotros no da nada para eso.
514500	518500	Miren, el sistema de rastreo de nosotros de un teléfono.
518500	521500	Nos da un radio alrededor de 100 metros.
521500	523500	No nos da una dirección exacta.
523500	526500	El que nos da la dirección exacta es esto.
526500	528500	El que se le está mostrando.
528500	529500	Ya.
529500	530500	Y si vamos para allá.
530500	532500	Yo voy al lugar.
532500	533500	Ya.
533500	536500	Usted no va a constatar que yo voy a realizar mi trabajo.
536500	538500	Ya le puedo decir que voy a ir a ese lugar.
538500	539500	Otra.
539500	541500	Sí.
541500	543500	Usted no puede llamar a sus colegas.
543500	545500	Porque si usted no sabe que hay que hacer...
545500	547500	Está inconforme con mi trabajo.
547500	548500	Muy inconforme.
548500	549500	Yo estoy en el culo.
549500	551500	Usted no ha hecho trabajo.
551500	553500	Usted no ha hecho trabajo, señor.
553500	554500	Ya.
554500	555500	A ver.
555500	558500	Hacer que sea la fiscalía, como la denuncia.
558500	560500	Y que le ayuden con eso.
560500	561500	Sí.
561500	564500	¿Cuánto tiempo?
564500	565500	No.
565500	567500	No, no, no.
567500	569500	No, no, no.
569500	572500	Hacemos un reporte nosotros de la demanda.
572500	574500	¿Cuánto tiempo es la demanda?
574500	576500	No, la denuncia la aceptan inmediatamente.
576500	579500	Ya sea la policía policial o la fiscalía.
579500	580500	Ok.
580500	582500	Pero entonces, ¿cuánto...
582500	584500	Ustedes dijeron que le...
584500	587500	Antes de que eso empiecen a trabajar ellos.
587500	588500	Es difícil.
588500	589500	Eso le expliqué.
589500	592500	La denuncia la aceptan y le archivan.
592500	594500	Eso le llama a un agente fiscal.
594500	597500	Él envía al personal de la PJ.
597500	599500	Eso no es inmediato.
599500	600500	Usted tiene que entender que...
600500	602500	Igual que usted dice que va a ser.
602500	603500	Nosotros también.
603500	604500	Porque tenía máscara.
604500	605500	Sólo te puedo decir.
605500	606500	Arte y flaco.
606500	607500	No, no.
607500	608500	La ubicación.
608500	609500	Podríamos ir con la ubicación.
609500	611500	Pero si le mandamos la ubicación.
611500	612500	Ustedes no pueden ir.
612500	613500	Si le mandamos.
613500	614500	Si eso es lo que falta.
614500	615500	Eso es fácil.
615500	618500	Si lo que falta es la ubicación.
618500	621500	Eso se puede mandar.
621500	622500	Enviadme la ubicación.
622500	624500	Enviadme la ubicación.
624500	625500	Tiene mi muro de teléfono.
625500	626500	Sí.
626500	627500	No nos da más problemas.
627500	630500	Y si se mueve me envían nuevamente.
630500	631500	Perfecto.
631500	632500	Eso es lo que queríamos.
632500	634500	Igual que ustedes están.
634500	635500	Si tienen máscara.
635500	637500	Nosotros del carro no vemos nada.
637500	640500	El teléfono le reconoce a ustedes.
640500	642500	Bueno, es un teléfono cualquiera.
642500	643500	Un iPhone azul.
643500	644500	Si tiene.
644500	647500	El otro teléfono.
647500	649500	No, usted también es caballero.
649500	652500	No, usted es 09.
652500	653500	93.
653500	655500	923.
655500	657500	403.
657500	659500	Ya, es el mismo.
664500	665500	593.
665500	666500	09.
666500	667500	93.
667500	668500	92.
668500	669500	34.
669500	671500	Este es con el código del país de invierno.
671500	673500	Si quiera lo ponen sin el código.
673500	674500	Sin el código.
674500	677500	Si, solo desde el 09.
677500	679500	No, sí.
679500	681500	Hay que entender.
681500	683500	No, no, está mal escrito.
683500	685500	403.
689500	691500	Pónganelo.
691500	694500	093.
694500	696500	922.
696500	711500	403.
711500	733500	093.
733500	735500	A ver, le guarda su número.
735500	737500	Con nombre de quien le guarda.
737500	745500	106.
745500	747500	En los otros dos, no.
747500	752500	Si.
752500	754500	106.
754500	756500	¿Cuántos días?
756500	757500	Días.
757500	766500	Ya, ya.
766500	768500	Ya, ¿cómo vamos a tratar?
768500	771500	Si puede enviarme eso en tiempo real.
771500	774500	Yo inclusive le voy a enviar mi ubicación en tiempo real.
774500	775500	Sí.
775500	776500	Perfecto.
776500	778500	Para que vea que la unidad está avanzando.
778500	779500	Perfecto.
779500	781500	Ya, si hay algún resultado, podía.
781500	782500	Ya le dije.
782500	784500	Lamentablemente, no.
784500	787500	Son altitos, más altos que él.
787500	788500	Era más alto que él.
788500	790500	Un flaquito, pelo corto.
790500	791500	Lo único que yo vi.
791500	793500	La cara no se la veía.
793500	796500	La cara.
796500	798500	El que le quitó el teléfono a él.
798500	801500	Fue eso.
801500	802500	No.
802500	803500	Mándame a procurar.
803500	805500	Ya, el teléfono no es un iPhone.
805500	806500	¿Iphone?
806500	807500	¿Cómo es?
807500	808500	Literal.
808500	809500	Azul.
809500	810500	Es azul.
810500	811500	Es así, igualito a eso.
811500	812500	Sí.
812500	813500	Permítame tomar.
813500	814500	Bueno, no.
814500	815500	El tuyo tiene dos cámaras.
815500	816500	Dos cámaras.
816500	817500	No tiene las tres.
817500	818500	Solo tiene dos.
818500	819500	El bolso.
819500	820500	El bolso negro.
820500	821500	Con cíper de plata.
821500	824500	Más nos vamos por el teléfono.
824500	827500	Ya se nos va el bolso negro.
827500	829500	Ya, ahí estamos de cortado.
829500	830500	Mira la dirección.
830500	831500	Manda eso.
831500	832500	Yo me leo la dirección.
832500	833500	Manda.
833500	834500	Busca Google Maps en tu teléfono.
834500	835500	No.
835500	837500	Osta en mi abeticia.
837500	839500	Tú tienes cómo mandar a su correo.
839500	842500	Porque como yo lo quiero constantemente.
842500	843500	Claro, entonces.
843500	844500	Que si se mueve.
844500	846500	Osta en mi abeticia.
846500	847500	Sí, no, pero yo digo.
847500	851500	Porque cada vez me manda un correo.
851500	859500	No, no lo haces.
859500	861500	Mándale el link de Google Maps.
861500	862500	Pon el puntico.
862500	864500	Está en donde está el hostal.
864500	865500	Mira dónde está el hostal.
865500	870500	¿Cómo dices que la fabricación de mi tira era como plástico?
870500	871500	Bueno.
871500	872500	Oh.
872500	873500	Tela.
873500	876500	Era impermeable.
876500	877500	Ok.
877500	880500	Ve como el interés.
880500	885500	Ahorita hay un hostal.
885500	886500	¿Está ahí?
886500	887500	Está ahí.
887500	888500	Sí.
888500	889500	Ve, Fili.
889500	890500	Un filmón.
890500	891500	¿Y ahí sería?
891500	892500	No.
892500	893500	¿Dónde está el hostal?
893500	894500	El hostal.
894500	895500	¿Dónde está el hostal?
895500	896500	Ahí está el hospital.
896500	897500	Ahí está el hospital.
897500	898500	¿Y ahí?
898500	899500	Y ahí.
899500	900500	Sí, porque ahí hay un hostal.
900500	901500	Diga.
901500	902500	¿Y ahí?
902500	903500	Sí.
903500	904500	¿Y ahí?
904500	909500	Sí.
909500	912500	Bueno, a ver, ya tenemos que estar.
928500	932500	Yo voy a decirles, la tecnología de ustedes son dos.
932500	936500	Su departamento, su policía, su organización, no tiene tecnología.
936500	939500	Acabé.
939500	945500	Mejor es inteligente, que puedan con los radales y todas las tablas, todas.
948500	950500	Ir con ellos al hospital y...
950500	953500	Con todas las opciones que haces.
953500	965500	Gracias.
